Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
bb103,BB103,"<meta charset=""utf-8""><span>All the elements of love are gathered into a lovely box. A delightful surprise it will be when your loved one lifts up the cover to reveal a garden flower arrangement of Roses /Eustomas /Hydrangeas/ Carnations, and a lovely Le sucre Bunny (30cm) nuzzling against it. </span><br><br><span><span>[As Shown] Flowers with 1 soft-toy Le Sucre Bunny .</span></span><meta charset=""utf-8""><span><span>Box size 40cm x 15cm x 20cm</span></span>",Warm Wishes Florist,Surprise Bloom Box,RM200-RM299,true,Title,Default Title,,,,,"",0,,1,deny,manual,220.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/10906287_1530882143867843_4244957298923601453_n.jpg?v=1437297455,,false,,,,,,,,,,,,,,,,,kg
bb102,BB102,"<p>A lovely sweetie white basket box filled with Ferrero Roche and flowers (Roses &amp; Eustomas)</p>
<meta charset=""utf-8"">
<p><span>[As Shown] 50 roses. Box size 40cm x 15cm x 20cm</span></p>",Warm Wishes Florist,Surprise Bloom Box,RM100-RM199,true,Title,Default Title,,,,,"",0,,1,deny,manual,170.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/10983418_1538418513114206_4301378289247018442_n.jpg?v=1437296852,,false,,,,,,,,,,,,,,,,,kg
bb100,BB100,"<meta charset=""utf-8""><span>The elements of love - romance &amp; surprise - are gathered into a lovely flowery box. It will be a delightful surprise when your loved one lifts up the cover to reveal a heart-shaped arrangement of Roses surrounded with baby's breath.</span><br><br><span>[As Shown, Large] 50 roses. Box size diameter 70cm, height 40cm</span><br><span><span>[Medium] 20 roses. </span></span><meta charset=""utf-8""><span><span>Box size diameter 40cm, height 25cm</span></span>",Warm Wishes Florist ,Surprise Bloom Box,"RM100-RM199, RM300 and above",true,Size,Large,,,,,"",0,,1,deny,manual,330.00,,true,true,BB100,https://cdn.shopify.com/s/files/1/0920/9480/products/10985445_1591334217822635_7970317520872778781_n.jpg?v=1437295489,,false,flower box malaysia,,,,,,,,,,,,,,,,kg
bb100,,,,,,,,Medium,,,,,"",0,,1,deny,manual,190.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/597c80bd1ac32ddbd710e2de0390fc38.png?v=1438129574,,,,,,,,,,,,,,,,,,,kg
fs101,FS101,"",Warm Wishes Florist ,Congratulation Flower Stand,Congratulations,true,Title,Default Title,,,,,"",0,,1,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/1911839_1485268328429225_6739891336229501644_n.jpg?v=1437228882,,false,,,,,,,,,,,,,,,,,kg
fs100,FS100,"",Warm Wishes Florist ,Congratulation Flower Stand,Congratulations,true,Title,Default Title,,,,,"",0,,1,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/1000269_1509977275958330_5784764633844912079_n.jpg?v=1437228803,,false,,,,,,,,,,,,,,,,,kg
wb107,WB107,"<p>Bright and cheerful on your wedding day!</p>
<p>Made up from total 30 stalks of flowers (i.e. roses and eustomas) in various colors &amp; 1 stalk of Peony.</p>
<p>[Seasonal]</p>",Warm Wishes Florist ,Bridal Bouquet,RM200-RM299,true,Title,Default Title,,,,,"",0,,1,deny,manual,220.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11351421_1595760170713373_5024641961295518477_n.jpg?v=1437217580,,false,,,,,,,,,,,,,,,,,kg
wb106,WB106,"<p>It wouldn't goes wrong with pastels and peonies on your wedding! This bridal bouquet consists of 3 peonies, 1 hydrangea and 10 stalks of roses and eustomas.</p>
<p> </p>
<p>[Seasonal]</p>",Warm Wishes Florist ,Bridal Bouquet,RM200-RM299,true,Title,Default Title,,,,,"",0,,1,deny,manual,280.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11161342_1582662675356456_6531555897693091331_n.jpg?v=1437217540,,false,,,,,,,,,,,,,,,,,kg
wb105,WB105,"<p>Mixed flowers bridal bouquet consists of peonies, eustomas and roses.</p>
<p>3 peonies, 20 stalks of roses and eustomas.</p>
<p>[Seasonal]</p>",Warm Wishes Florist ,Bridal Bouquet,RM200-RM299,true,Title,Default Title,,,,,"",0,,1,deny,manual,260.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11141235_1573780009578056_1427720125609762903_n.jpg?v=1437217496,,false,,,,,,,,,,,,,,,,,kg
wb104,WB104,"<p>This suits the best with your white wedding gown as the fuchsia will out stand from the whites !</p>
<p>15 stalks of fuchsia pink roses and 15 stalks of white eustomas / roses  </p>",Warm Wishes Florist ,Bridal Bouquet,RM100-RM199,true,Title,Default Title,,,,,"",0,,1,deny,manual,170.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11070173_1563849460571111_8246956566428643088_n.jpg?v=1437217442,,false,,,,,,,,,,,,,,,,,kg
