id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
WWF07470_7470,"Fuddlewuddle Elephant","Stomping in for a mighty cuddle, it’s Fuddlewuddle Elephant! In soft chalky-blue, with fuddletastic fur and a big long trunk for sniffing out sandwiches, he really is an amazing fellow. 
 
  
 
Medium Height 23cm",https://warmwishesflorist.com/wp-content/uploads/2018/03/FW6EUK.jpg,https://warmwishesflorist.com/shop/fuddlewuddle-elephant/,"Jellycat Collections","Warm Wishes Florist",130MYR,in stock,WWF07470_7470,,"https://warmwishesflorist.com/wp-content/uploads/2018/03/FW6EUK_2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,130MYR,new,published,,,,,984,,
WWF07465_7465,"Raspberry Ripple Pompom","Raspberry Ripple Pompom is ready to hit the disco! This loveably lanky fluffball friend is as soft and yummy as a big bowl of ice-cream! This Pompom loves to pose in suedey pink space boots to match that cool tall neck and beak! Why not come along, strut and stroll, and be as silly as you like? 
 
  
 
Medium Height 33cm",https://warmwishesflorist.com/wp-content/uploads/2018/03/PPM2W.jpg,https://warmwishesflorist.com/shop/raspberry-ripple-pompom/,"Jellycat Collections","Warm Wishes Florist",140MYR,in stock,WWF07465_7465,,"https://warmwishesflorist.com/wp-content/uploads/2018/03/dnx3xjswkaakkfz_1.jpg,https://warmwishesflorist.com/wp-content/uploads/2018/03/lifestyle_15.jpg,https://warmwishesflorist.com/wp-content/uploads/2018/03/Jellycat-Pompom-Raspberry-Ripple-PPM2W_1-e1499448847489.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,140MYR,new,published,,,,,984,,
WWF07340_7340,"Fuddlewuddle Unicorn","Fuddlewuddle Unicorn is filled with enchantment! This creamy, scruffly unicorn is bubbling over with magic adventures! Her sparkly horn has the shimmer of stardust, and her mane and tale are super-silky. With sticky-up ears and scrummy-soft hooves, she's a loveable legend. 
 
H-23cm",https://warmwishesflorist.com/wp-content/uploads/2018/03/FW6U.jpg,https://warmwishesflorist.com/shop/fuddlewuddle-unicorn/,"Jellycat Collections","Warm Wishes Florist",130MYR,in stock,WWF07340_7340,,"https://warmwishesflorist.com/wp-content/uploads/2018/03/FW6U_1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,130MYR,new,published,,,,,984,,
WWF07252_7252,"Adele","Bold red theme bridal bouquet with Astraintia, Astilbe, Caspia, Eryngium Roses, Ping Pong Flower and a dim of gold Ruscus.",https://warmwishesflorist.com/wp-content/uploads/2018/03/27023659_2042170272739025_3322266599644311673_o.jpg,https://warmwishesflorist.com/shop/adele/,"Weddings","Warm Wishes Florist",330MYR,in stock,WWF07252_7252,,"https://warmwishesflorist.com/wp-content/uploads/2018/03/27021602_2042170239405695_4515072398548610986_o.jpg,https://warmwishesflorist.com/wp-content/uploads/2018/03/IMG_2008-e1561819058820.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,330MYR,new,published,,,,,984,,
WWF07237_7237,"Baby Starz","Baby breath with Eucalyptus Populous",https://warmwishesflorist.com/wp-content/uploads/2018/03/28699134_2061718427450876_4846951645435836993_o.jpg,https://warmwishesflorist.com/shop/starz/,"Weddings","Warm Wishes Florist",190MYR,in stock,WWF07237_7237,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,190MYR,new,published,,,,,984,,
WWF07187_7187,"Peace","Sympathy condolence stand in white",https://warmwishesflorist.com/wp-content/uploads/2018/03/IMG_1806-1.jpg,https://warmwishesflorist.com/shop/peace/,"Flower Stand, Sympathy","Warm Wishes Florist",260MYR,in stock,WWF07187_7187,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,260MYR,new,published,,,,,984,,
WWF07087_7087,"Melody","Ideal round bouquet filled with roses, hydrangea, baby breath and caspia",https://warmwishesflorist.com/wp-content/uploads/2018/01/26910385_2037562759866443_3539753827474785499_o.jpg,https://warmwishesflorist.com/shop/melody-3/,"Hand Bouquets, Annivesary, Birthday, Proposal","Warm Wishes Florist",200MYR,in stock,WWF07087_7087,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,200MYR,new,published,,,,,984,,
WWF07069_7069,"Superb floral Stand","This is at least twice time wider than the ordinary congratulation flower stand. It comes with customised message design on a big board and lastly decorated with flowers on the ground too.",https://warmwishesflorist.com/wp-content/uploads/2018/02/25498258_2057441891211863_5080152543643749530_n.jpg,https://warmwishesflorist.com/shop/superb-floral-stand/,"Flower Stand, Grand Opening","Warm Wishes Florist",780MYR,in stock,WWF07069_7069,,"https://warmwishesflorist.com/wp-content/uploads/2018/02/28059447_2057441914545194_8290625067027641466_n.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,780MYR,new,published,,,,,984,,
WWF07067_7067,"Blissful","Ocean themed bridal bouquet with succulent, ranunculus, roses and fillers",https://warmwishesflorist.com/wp-content/uploads/2018/02/28379295_2058038157818903_3354171420493797555_n.jpg,https://warmwishesflorist.com/shop/7067/,"Weddings","Warm Wishes Florist",320MYR,in stock,WWF07067_7067,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,320MYR,new,published,,,,,984,,
WWF06526_6529,"Only","Fresh Flowers | Same Day Delivery",https://warmwishesflorist.com/wp-content/uploads/2018/01/22555527_1997716303851089_1923826703416147753_o.jpg,https://warmwishesflorist.com/shop/only/?attribute_pa_stalks=99-stalks,"Valentine's Day","Warm Wishes Florist",899MYR,in stock,WWF06526_6526,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,899MYR,new,published,,,,,984,,"stalks:60 stalks/99 stalks/30 stalks/40 stalks:99 stalks"
